Year,Education,Unemployment
1991,11.8450698852539,23.137
1992,12.3273200988769,23.463
1993,13.6232995986938,23.361
1994,15.7045001983643,23.067
2012,17.9447234835981,24.727
2013,18.6088225305342,24.561
2014,18.4813356370067,24.89
2015,19.0332949537661,25.149
2016,18.9292980324153,26.536
2017,21.0902909603212,27.035
2018,22.3515425184231,26.906
2019,22.2442465104023,28.468
2020,22.6148742572009,29.217
2021,22.3431289991291,34.007
2022,23.7271036201865,33.268
2023,23.493768799339,32.098
